Nom,Sexe,Identifiant,"État
membre"
PITTELLA Gianni,M,4436,IT
PLEGUEZUELOS AGUILAR Francisca,F,28326,ES
PLEŠTINSKÁ Zita,F,28173,SK
PLUMB Rovana,F,38595,RO
PODESTÀ Guido,M,2046,IT
PODGOREAN Radu,M,33985,RO
PODIMATA Anni,F,39317,GR
PODKAŃSKI Zdzisław Zbigniew,M,28391,PL
POHJAMO Samuli,M,2340,FI
POIGNANT Bernard,M,4311,FR
POLFER Lydie,F,28862,LU
POLI BORTONE Adriana,F,4467,IT
POMÉS RUIZ José Javier,M,1882,ES
POPA Mihaela,F,39715,RO
POPA Nicolae Vlad,M,34003,RO
POPEANGĂ Petre,M,33986,RO
PORTAS Miguel,M,28406,PT
POSDORF Horst,M,34727,DE
POSSELT Bernd,M,2229,DE
POST Joop,M,38160,NL
PÖTTERING Hans-Gert,M,1253,DE
PRETS Christa,F,4239,AT
PRIBETICH Pierre,M,38845,FR
PROCACCI Giovanni,M,4460,IT
PRODI Vittorio,M,28370,IT
PROTASIEWICZ Jacek,M,23782,PL
PURVIS John,M,729,GB
PUŞCAŞ Vasile,M,38270,RO
QUEIRÓ Luís,M,4461,PT
QUISTHOUDT-ROWOHL Godelieve,F,1055,DE
RACK Reinhard,M,2206,AT
RADWAN Alexander,M,4292,DE
RAEVA Bilyana Ilieva,F,38600,BG
RAINYTÉ-BODARD Ona,F,28273,LT
RANSDORF Miloslav,M,23706,CZ
RAPKAY Bernhard,M,1906,DE
RASMUSSEN Poul Nyrup,M,28149,DK
REMEK Vladimír,M,28330,CZ
RESETARITS Karin,F,28254,AT
REUL Herbert,M,28225,DE
REYNAUD Marie-Line,F,28168,FR
RIBEIRO Sérgio,M,234,PT
RIBEIRO E CASTRO José,M,5570,PT
RIERA MADURELL Teresa,F,28349,ES
RIES Frédérique,F,4253,BE
RIIS-JØRGENSEN Karin,F,1926,DK
RIVERA Giovanni,M,33611,IT
RIZZO Marco,M,28410,IT
ROBSAHM Maria,F,28128,SE
ROBUSTI Giovanni,M,58757,IT
ROCARD Michel,M,1977,FR
RODUST Ulrike,F,93624,DE
ROGALSKI Bogusław,M,28343,PL
ROITHOVÁ Zuzana,F,28352,CZ
ROMAGNOLI Luca,M,28457,IT
ROMEVA i RUEDA Raül,M,28409,ES
ROSATI Dariusz,M,28394,PL
ROSZKOWSKI Wojciech,M,28356,PL
ROTH-BEHRENDT Dagmar,F,1183,DE
ROTHE Mechtild,F,1237,DE
ROUČEK Libor,M,23707,CZ
ROURE Martine,F,4313,FR
ROVSING Christian,M,1269,DK
RÜBIG Paul,M,2278,AT
RUDI UBEDA Luisa Fernanda,F,28378,ES
RÜHLE Heide,F,4294,DE
RUS Flaviu Călin,M,72759,RO
RUTOWICZ Leopold Józef,M,28376,PL
RYAN Eoin,M,28113,IE
SACCONI Guido,M,4425,IT
SAÏFI Tokia,F,4345,FR
SAKALAS Aloyzas,M,28281,LT
SAKS Katrin,F,37200,EE
SALAFRANCA SÁNCHEZ-NEYRA José Ignacio,M,2002,ES
SALINAS GARCÍA María Isabel,F,28361,ES
SALVINI Matteo,M,28404,IT
SAMARAS Antonis,M,28548,GR
SAMUELSEN Anders,M,28160,DK
SÁNCHEZ PRESEDO Antolín,M,28295,ES
SANTORO Michele,M,28333,IT
dos SANTOS Manuel António,M,21918,PT
SANZARELLO Sebastiano,M,58727,IT
SANZ PALACIO Salvador Domingo,M,40603,ES
SÂRBU Daciana Octavia,F,33989,RO
SARTORI Amalia,F,4423,IT
SARYUSZ-WOLSKI Jacek,M,28297,PL
SAVARY Gilles,M,4306,FR
SAVI Toomas,M,23864,EE
SBARBATI Luciana,F,4428,IT
SCHALDEMOSE Christel,F,37312,DK
SCHAPIRA Pierre,M,28172,FR
SCHEELE Karin,F,4242,AT
SCHENARDI Lydia,F,28211,FR
SCHIERHUBER Agnes,F,2209,AT
SCHINAS Margaritis,M,39315,GR
SCHLYTER Carl,M,28139,SE
SCHMIDT Frithjof,M,28237,DE
SCHMIDT Olle,M,4274,SE
SCHMITT Ingo,M,4272,DE
SCHMITT Pál,M,28133,HU
SCHNELLHARDT Horst,M,1930,DE
SCHÖPFLIN György,M,28135,HU
SCHRÖDER Jürgen,M,1858,DE
SCHROEDTER Elisabeth,F,1933,DE
SCHULZ Martin,M,1911,DE
SCHUTH Willem,M,28245,DE
SCHWAB Andreas,M,28223,DE
SEEBER Richard,M,28252,AT
SEEBERG Gitte,F,28158,DK
SEGELSTRÖM Inger,F,28129,SE
SEPPÄNEN Esko,M,2304,FI
ŞERBU Gheorghe Vergil,M,37451,RO
SEVERIN Adrian,M,33990,RO
SHOULEVA Lydia,F,34236,BG
SIEKIERSKI Czesław Adam,M,23787,PL
SIFUNAKIS Nikolaos,M,28582,GR
SIITONEN Eva-Riitta,F,95014,FI
SILAGHI Ovidiu Ioan,M,33991,RO
SILVA PENEDA José Albino,M,28402,PT
SIMONOT Chantal,F,28212,FR
SIMPSON Brian,M,1309,GB
SINNOTT Kathy,F,28119,IE
SIWIEC Marek,M,28380,PL
SJÖSTEDT Jonas,M,2268,SE
SKINNER Peter,M,2081,GB
ŠKOTTOVÁ Nina,F,28319,CZ
SMITH Alyn,M,28508,GB
SOFIANSKI Stefan,M,34256,BG
SÓGOR Csaba,M,39724,RO
SOMMER Renate,F,4282,DE
SØNDERGAARD Søren Bo,M,37676,DK
SONIK Bogusław,M,28299,PL
SORNOSA MARTÍNEZ María,F,1970,ES
SOULAGE Bernard,M,95298,FR
SOUSA PINTO Sérgio,M,4445,PT
SPAUTZ Jean,M,684,LU
SPERONI Francesco Enrico,M,997,IT
STAES Bart,M,4751,BE
STĂNESCU Cristian,M,37449,RO
STANISZEWSKA Grażyna,F,28388,PL
STARKEVIČIŪTĖ Margarita,F,28285,LT
ŠŤASTNÝ Peter,M,28170,SK
STAUNER Gabriele,F,4293,DE
STAVREVA Petya,F,38608,BG
STENZEL Ursula,F,2294,AT
STERCKX Dirk,M,4243,BE
STEVENSON Struan,M,4546,GB
STIHLER Catherine,F,4545,GB
STOCKMANN Ulrich,M,1859,DE
STOLOJAN Theodor Dumitru,M,39721,RO
STOYANOV Dimitar,M,34254,BG
STREJČEK Ivo,M,28320,CZ
STROŽ Daniel,M,28339,CZ
STUBB Alexander,M,28261,FI
STURDY Robert,M,2037,GB
SUDRE Margie,F,4340,FR
SUMBERG David,M,4539,GB
SURJÁN László,M,23820,HU
SUSTA Gianluca,M,36396,IT
SVENSSON Eva-Britt,F,28134,SE
SWOBODA Hannes,M,2295,AT
SZABÓ Károly Ferenc,M,34004,RO
SZÁJER József,M,23821,HU
SZEJNA Andrzej Jan,M,28382,PL
SZENT-IVÁNYI István,M,23830,HU
SZYMAŃSKI Konrad,M,28358,PL
TABAJDI Csaba Sándor,M,23808,HU
TAJANI Antonio,M,2187,IT
TAKKULA Hannu,M,28316,FI
TANNOCK Charles,M,4521,GB
TARABELLA Marc,M,29579,BE
TARAND Andres,M,28980,EE
TATARELLA Salvatore,M,1945,IT
TEYCHENNÉ Michel,M,94281,FR
THOMSEN Britta,F,28153,DK
THYSSEN Marianne,F,1832,BE
ŢICĂU Silvia-Adriana,F,36281,RO
ŢÎRLE Radu,M,34005,RO
TITFORD Jeffrey,M,4515,GB
TITLEY Gary,M,1311,GB
TOIA Patrizia,F,28340,IT
TŐKÉS László,M,39726,HU
TOMA Horia-Victor,M,38421,RO
TOMASZEWSKA Ewa,F,39022,PL
TOMCZAK Witold,M,24089,PL
TOUBON Jacques,M,28198,FR
TOUSSAS Georgios,M,28584,GR
TRAKATELLIS Antonios,M,2182,GR
TRAUTMANN Catherine,F,1129,FR
TRIANTAPHYLLIDES Kyriacos,M,28514,CY
TRÜPEL Helga,F,28240,DE
TURMES Claude,M,4432,LU
TZAMPAZI Evangelia,F,28581,GR
UCA Feleknas,F,4302,DE
ULMER Thomas,M,28221,DE
URUTCHEV Vladimir,M,38601,BG
VAIDERE Inese,F,28617,LV
VAKALIS Nikolaos,M,28573,GR
VĂLEAN Adina-Ioana,F,37324,RO
VALENCIANO MARTÍNEZ-OROZCO Elena,F,4334,ES
VALLVÉ Joan,M,1976,ES
VANHECKE Frank,M,1956,BE
VAN HECKE Johan,M,4241,BE
VAN LANCKER Anne,F,1938,BE
VAN ORDEN Geoffrey,M,4513,GB
VARELA SUANZES-CARPEGNA Daniel,M,2000,ES
VARVITSIOTIS Ioannis,M,28547,GR
VATANEN Ari,M,4256,FR
VAUGRENARD Yannick,M,28175,FR
VÄYRYNEN Paavo,M,2128,FI
VENETO Armando,M,36390,IT
VENTRE Riccardo,M,28437,IT
VERALDI Donato Tommaso,M,36394,IT
VERGÈS Paul,M,1490,FR
VERGNAUD Bernadette,F,28177,FR
VERNOLA Marcello,M,28439,IT
VIDAL-QUADRAS Alejo,M,4308,ES
VIGENIN Kristian,M,34232,BG
de VILLIERS Philippe,M,2212,FR
VILLIERS Theresa,F,4520,GB
VINCENZI Marta,F,28335,IT
VIRRANKOSKI Kyösti,M,2306,FI
VISSER Cornelis,M,39534,NL
VLASÁK Oldřich,M,28323,CZ
VLASTO Dominique,F,5737,FR
VOGGENHUBER Johannes,M,2053,AT
WAGENKNECHT Sahra,F,28250,DE
WALLIS Diana,F,4544,GB
WALTER Ralf,M,1910,DE
WATSON Graham,M,2155,GB
WEBER Henri,M,2319,FR
WEBER Manfred,M,28229,DE
WEBER Renate,F,39713,RO
WEILER Barbara,F,1907,DE
WEISGERBER Anja,F,28227,DE
WESTLUND Åsa,F,28130,SE
WHITEHEAD Phillip,M,2174,GB
WHITTAKER John,M,28509,GB
WIELAND Rainer,M,2323,DE
WIELOWIEYSKI Andrzej,M,93543,PL
WIERSMA Jan Marinus,M,1952,NL
WIERZEJSKI Wojciech,M,28344,PL
WIJKMAN Anders,M,4276,SE
WILLMOTT Glenis,F,35743,GB
WINKLER Iuliu,M,39725,RO
WISE Thomas,M,28496,GB
von WOGAU Karl,M,1224,DE
WOHLIN Lars,M,28144,SE
WOJCIECHOWSKI Bernard,M,34720,PL
WOJCIECHOWSKI Janusz,M,23784,PL
WORTMANN-KOOL Corien,F,28167,NL
WUERMELING Joachim,M,4291,DE
WURTZ Francis,M,1018,FR
WYNN Terence,M,1295,GB
XENOGIANNAKOPOULOU Marilisa,F,28577,GR
YÁÑEZ-BARNUEVO GARCÍA Luis,M,28278,ES
ZÁBORSKÁ Anna,F,23894,SK
ZAHRADIL Jan,M,23712,CZ
ZALESKI Zbigniew,M,28300,PL
ZANI Mauro,M,28414,IT
ZANICCHI Iva,F,41007,IT
ZAPAŁOWSKI Andrzej Tomasz,M,33946,PL
ZAPPALA' Stefano,M,4433,IT
ZATLOUKAL Tomáš,M,28351,CZ
ŽDANOKA Tatjana,F,28619,LV
ZDRAVKOVA Dushana,F,38604,BG
ŽELEZNÝ Vladimír,M,28357,CZ
ZGONEA Valeriu Ştefan,M,33993,RO
ZIELENIEC Josef,M,28348,CZ
ZĪLE Roberts,M,28615,LV
ZIMMER Gabriele,F,28248,DE
ZIMMERLING Jürgen,M,4281,DE
ZINGARETTI Nicola,M,28419,IT
ZLOTEA Marian,M,39709,RO
ZVĚŘINA Jaroslav,M,28921,CZ
ZWIEFKA Tadeusz,M,28301,PL
